name,type,parent_module,full_path,links_out,links_in,lines
api_test.py,module,,BoxFly-master/api_test.py,0,0,0
box_drone_video.py,module,,BoxFly-master/box_drone_video.py,1,0,24
_,function,box_drone_video.py,BoxFly-master/box_drone_video.py,0,0,0
video,function,box_drone_video.py,BoxFly-master/box_drone_video.py,0,0,24
demo.py,module,,BoxFly-master/demo.py,3,3,166
process_instruction,function,demo.py,BoxFly-master/demo.py,5,1,102
_,function,demo.py,BoxFly-master/demo.py,0,0,0
ask,function,demo.py,BoxFly-master/demo.py,0,6,11
get_last_assisant_message,function,demo.py,BoxFly-master/demo.py,0,0,15
delete_image,function,demo.py,BoxFly-master/demo.py,0,6,7
video,function,demo.py,BoxFly-master/demo.py,0,0,31
gradio_new.py,module,,BoxFly-master/gradio_new.py,0,0,31
_,function,gradio_new.py,BoxFly-master/gradio_new.py,1,0,0
process_instruction_mode,function,gradio_new.py,BoxFly-master/gradio_new.py,0,0,14
toggle_dropdown_visibility,function,gradio_new.py,BoxFly-master/gradio_new.py,0,0,3
get_last_assistant_message,function,gradio_new.py,BoxFly-master/gradio_new.py,0,1,14
land.py,module,,BoxFly-master/land.py,1,0,0
_,function,land.py,BoxFly-master/land.py,0,0,0
mac.py,module,,BoxFly-master/mac.py,1,0,0
_,function,mac.py,BoxFly-master/mac.py,0,0,0
main.py,module,,BoxFly-master/main.py,5,0,174
process_instruction,function,main.py,BoxFly-master/main.py,5,0,103
_,function,main.py,BoxFly-master/main.py,1,0,0
ask,function,main.py,BoxFly-master/main.py,0,0,9
get_last_assisant_message,function,main.py,BoxFly-master/main.py,0,0,15
delete_image,function,main.py,BoxFly-master/main.py,0,0,7
video,function,main.py,BoxFly-master/main.py,0,0,40
main_client_1.py,module,,BoxFly-master/main_client_1.py,4,3,106
_,function,main_client_1.py,BoxFly-master/main_client_1.py,1,0,0
perform_instruction,function,main_client_1.py,BoxFly-master/main_client_1.py,1,2,28
main,function,main_client_1.py,BoxFly-master/main_client_1.py,2,4,47
video,function,main_client_1.py,BoxFly-master/main_client_1.py,0,0,31
main_client_2.py,module,,BoxFly-master/main_client_2.py,5,0,105
_,function,main_client_2.py,BoxFly-master/main_client_2.py,1,0,0
perform_instruction,function,main_client_2.py,BoxFly-master/main_client_2.py,1,0,28
main,function,main_client_2.py,BoxFly-master/main_client_2.py,2,0,47
video,function,main_client_2.py,BoxFly-master/main_client_2.py,0,0,30
main_old.py,module,,BoxFly-master/main_old.py,4,0,165
process_instruction,function,main_old.py,BoxFly-master/main_old.py,5,0,103
_,function,main_old.py,BoxFly-master/main_old.py,0,0,0
ask,function,main_old.py,BoxFly-master/main_old.py,0,0,9
get_last_assisant_message,function,main_old.py,BoxFly-master/main_old.py,0,0,15
delete_image,function,main_old.py,BoxFly-master/main_old.py,0,0,7
video,function,main_old.py,BoxFly-master/main_old.py,0,0,31
prompt.py,module,,BoxFly-master/prompt.py,0,7,5
_,function,prompt.py,BoxFly-master/prompt.py,1,0,0
get_prompt,function,prompt.py,BoxFly-master/prompt.py,0,1,2
get_message_template,function,prompt.py,BoxFly-master/prompt.py,0,10,3
recorder.py,module,,BoxFly-master/recorder.py,0,0,116
VideoRecorder,class,recorder.py,BoxFly-master/recorder.py,1,1,116
server.py,module,,BoxFly-master/server.py,5,0,386
process_instruction,function,server.py,BoxFly-master/server.py,11,0,195
main,function,server.py,BoxFly-master/server.py,4,0,92
_,function,server.py,BoxFly-master/server.py,1,0,0
ask,function,server.py,BoxFly-master/server.py,0,0,9
get_last_assistant_message,function,server.py,BoxFly-master/server.py,0,0,15
get_drone_messages,function,server.py,BoxFly-master/server.py,0,2,23
delete_image,function,server.py,BoxFly-master/server.py,0,0,7
send_command,function,server.py,BoxFly-master/server.py,0,3,2
video,function,server.py,BoxFly-master/server.py,0,0,43
testvideoav.py,module,,BoxFly-master/testvideoav.py,2,0,47
main,function,testvideoav.py,BoxFly-master/testvideoav.py,1,0,47
_,function,testvideoav.py,BoxFly-master/testvideoav.py,0,0,0
testvideosend.py,module,,BoxFly-master/testvideosend.py,1,0,70
_,function,testvideosend.py,BoxFly-master/testvideosend.py,0,0,0
cam,function,testvideosend.py,BoxFly-master/testvideosend.py,0,0,18
videoFrameHandler,function,testvideosend.py,BoxFly-master/testvideosend.py,0,0,2
flightDataHandler,function,testvideosend.py,BoxFly-master/testvideosend.py,0,0,2
handleFileReceived,function,testvideosend.py,BoxFly-master/testvideosend.py,0,0,48
test_gradio.py,module,,BoxFly-master/test_gradio.py,0,0,9
process_instruction,function,test_gradio.py,BoxFly-master/test_gradio.py,0,0,2
get_last_assisant_message,function,test_gradio.py,BoxFly-master/test_gradio.py,0,0,7
torch-test.py,module,,BoxFly-master/torch-test.py,1,0,0
_,function,torch-test.py,BoxFly-master/torch-test.py,1,0,0
__init__.py,module,,BoxFly-master/__init__.py,6,6,0
basic.py,module,,BoxFly-master/drone/basic.py,0,5,158
